File name,Date,Material,Nanoparticle Size (nm),Nanoparticle Shape,Support,Instrument,Dosage (e/A2),Pixel Scale (nm),Folder
Au_UTC_205kX_2630e_0p1596s_01.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,420,0.033,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_205kX_2630e_0p1596s_02.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,420,0.033,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_205kX_2630e_0p1596s_03.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,420,0.033,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_205kX_2630e_0p1596s_04.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,420,0.033,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_205kX_2630e_0p1596s_05.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,420,0.033,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_205kX_2630e_0p1596s_06.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,420,0.033,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_260kX_2670e_0p1596s_01.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,426,0.026,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_260kX_2800e_0p1596s_01.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,447,0.026,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_260kX_2820e_0p1596s_01.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,450,0.026,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_260kX_2820e_0p1596s_02.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,450,0.026,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_260kX_2820e_0p1596s_03.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,450,0.026,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_260kX_2820e_0p1596s_04.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,450,0.026,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_260kX_2820e_0p1596s_05.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,450,0.026,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_260kX_2820e_0p1596s_06.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,450,0.026,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_260kX_2820e_0p1596s_07.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,450,0.026,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_330kX_2650e_0p1596s_01.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,423,0.02,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_330kX_2650e_0p1596s_02.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,423,0.02,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_330kX_2650e_0p1596s_03.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,423,0.02,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_330kX_2650e_0p1596s_04.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,423,0.02,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_330kX_2650e_0p1596s_05.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,423,0.02,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_330kX_2650e_0p1596s_06.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,423,0.02,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_330kX_2650e_0p1596s_07.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,423,0.02,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
Au_UTC_330kX_2650e_0p1596s_08.dm3,08/26/21,Au,5,Sphere,UT Carbon,Team05,423,0.02,2021_08_26 5nm Au nanoparticles on C/Ultrathin Carbon
20210902_Au_160kX_1800e_0p1596s_01.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,287,0.042,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_160kX_1800e_0p1596s_02.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,287,0.042,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_160kX_1800e_0p1596s_03.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,287,0.042,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_160kX_1800e_0p1596s_04.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,287,0.042,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_160kX_1800e_0p1596s_05.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,287,0.042,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_160kX_1800e_0p1596s_06.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,287,0.042,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_160kX_1800e_0p1596s_07.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,287,0.042,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_205kX_2640e_0p1596s_01.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,421,0.033,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_205kX_2640e_0p1596s_02.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,421,0.033,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_205kX_2640e_0p1596s_03.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,421,0.033,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_205kX_2640e_0p1596s_04.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,421,0.033,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_205kX_2640e_0p1596s_05.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,421,0.033,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_205kX_2640e_0p1596s_06.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,421,0.033,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_205kX_2640e_0p1596s_07.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,421,0.033,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_205kX_2640e_0p1596s_08.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,421,0.033,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_205kX_2640e_0p1596s_09.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,421,0.033,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_205kX_2640e_0p1596s_10.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,421,0.033,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_205kX_2640e_0p1596s_11.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,421,0.033,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_205kX_2640e_0p1596s_12.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,421,0.033,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_205kX_2640e_0p1596s_13.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,421,0.033,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_205kX_2640e_0p1596s_14.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,421,0.033,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_205kX_2640e_0p1596s_15.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,421,0.033,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_260kX_2840e_0p1596s_01.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,453,0.026,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_260kX_2840e_0p1596s_02.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,453,0.026,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_260kX_2840e_0p1596s_03.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,453,0.026,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_260kX_2840e_0p1596s_04.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,453,0.026,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_260kX_2840e_0p1596s_05.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,453,0.026,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_260kX_2840e_0p1596s_06.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,453,0.026,2021_09_02 10nm Au nanoparticles on UT C
20210902_Au_260kX_2840e_0p1596s_07.dm3,09/02/21,Au,10,Sphere,UT Carbon,Team05,453,0.026,2021_09_02 10nm Au nanoparticles on UT C
